Mã,Ch?c n?ng,Vai trò,Mô t?,M?c ?? ?u tiên,Ti?n ?? Test Case,,,,,,,,,,,,,,,,,,,,
PB01,Qu?n lý s? ki?n,Admin/Sub Admin,Thêm/S?a/Xóa s? ki?n. H? tr? l?u nháp và xu?t b?n.,Cao,V,,,,,,,,,,,,,,,,,,,,
PB02,Qu?n lý danh m?c,Admin/Sub Admin,"Qu?n lý các danh m?c: Workshop, Seminar, Talkshow, Cu?c thi, L? khai gi?ng, Tuy?n sinh...",Cao,,,,,,,,,,,,,,,,,,,,,
PB03,Qu?n lý di?n gi?,Admin/Sub Admin,"Thêm, s?a, xóa thông tin Di?n gi? / Khách m?i kèm ?nh ??i di?n.",Trung bình,,,,,,,,,,,,,,,,,,,,,
PB04,Qu?n lý khoa/b? ph?n,Admin/Sub Admin,"Thêm, s?a, xóa thông tin Khoa / B? ph?n ",Trung bình,,,,,,,,,,,,,,,,,,,,,
PB05,Dashboard th?ng kê,Admin/Sub Admin,"Th?ng kê l??t xem, l??t ??ng ký, l??t check-in theo t?ng s? ki?n.",Trung bình,,,,,,,,,,,,,,,,,,,,,
PB06,Sinh link public,Admin/Sub Admin,T?o URL công khai riêng cho t?ng trang s? ki?n.,Th?p,,,,,,,,,,,,,,,,,,,,,
PB07,Ch?n giao di?n m?u,Admin/Sub Admin,Cho phép ch?n template thi?t k? khác nhau cho t?ng trang s? ki?n.,Th?p,,,,,,,,,,,,,,,,,,,,,
PB08,T?o tài kho?n Sub Admin,Admin Only,Cho phép admin t?o thêm tài kho?n m?i cho admin ph?,Th?p,,,,,,,,,,,,,,,,,,,,,
PB09,??ng nh?p,Admin/Sub Admin,Xác th?c ng??i dùng Admin,Cao,,,,,,,,,,,,,,,,,,,,,
PB10,SEO c? b?n,Admin/Sub Admin,"T? t?o meta title, description, og:image cho t?ng trang s? ki?n.",Trung bình,,,,,,,,,,,,,,,,,,,,,
PB11,Qu?n lý album ?nh,Admin/Sub Admin,Upload và hi?n th? ?nh ho?t ??ng tr??c và sau s? ki?n.,Cao,,,,,,,,,,,,,,,,,,,,,
PB12,Tài li?u ?ính kèm,Admin/Sub Admin,"Upload tài li?u PDF, DOCX, PPTX... liên quan ??n s? ki?n.",Trung bình,,,,,,,,,,,,,,,,,,,,,
